time;rate
0;0,004019
1;0,004019
2;0,007233
3;0,009495
4;0,011758
5;0,014021
6;0,016283
7;0,018546
8;0,020256
9;0,021756
10;0,023116
11;0,024022
12;0,024928
13;0,025834
14;0,02674
15;0,027646
16;0,02788
17;0,028114
18;0,028348
19;0,028582
20;0,028816
21;0,029127
22;0,029498
23;0,029896
24;0,0303
25;0,0307
26;0,031088
27;0,031459
28;0,031813
29;0,032148
30;0,032465
31;0,032764446
32;0,033047163
33;0,033314127
34;0,033566353
35;0,033804844
36;0,034030566
37;0,034244428
38;0,03444728
39;0,034639908
40;0,034823035
41;0,034997328
42;0,035163395
43;0,035321796
44;0,035473041
45;0,035617601
46;0,035755906
47;0,03588835
48;0,036015297
49;0,036137081
50;0,036254009
51;0,036366366
52;0,036474414
53;0,036578397
54;0,036678539
55;0,036775048
56;0,03686812
57;0,036957935
58;0,037044659
59;0,037128451
60;0,037209457
61;0,037287812
62;0,037363646
63;0,037437077
64;0,037508219
65;0,037577176
66;0,037644049
67;0,037708929
68;0,037771905
69;0,037833059
70;0,037892469
71;0,037950209
72;0,038006348
73;0,038060952
74;0,038114083
75;0,0381658
76;0,038216158
77;0,038265211
78;0,038313008
79;0,038359597
80;0,038405023
81;0,03844933
82;0,038492558
83;0,038534746
84;0,038575931
85;0,038616149
86;0,038655433
87;0,038693815
88;0,038731326
89;0,038767996
90;0,038803852
91;0,038838921
92;0,038873229
93;0,0389068
94;0,038939658
95;0,038971826
96;0,039003324
97;0,039034173
98;0,039064394
99;0,039094005
100;0,039123025
101;0,039151471
102;0,03917936
103;0,039206708
104;0,039233531
105;0,039259844
106;0,03928566
107;0,039310995
108;0,039335862
109;0,039360272
110;0,03938424
111;0,039407776
112;0,039430892
113;0,0394536
114;0,03947591
115;0,039497832
116;0,039519377
117;0,039540553
118;0,039561372
119;0,039581841
120;0,039601969
121;0,039621765
122;0,039641236
123;0,039660392
124;0,039679238
125;0,039697784
126;0,039716035
127;0,039734
128;0,039751684
129;0,039769094
130;0,039786237
131;0,039803118
132;0,039819743
133;0,039836119
134;0,039852251
135;0,039868144
